index,North,South,West,East,ND,SD,WD,ED
1,,2,7,,,3,3,
2,1,3,8,,3,3,3,
3,2,,9,,3,,3,
4,,5,,,,3,,
5,4,,11,,3,,3,
6,,,12,,,,3,
7,,,,1,,,,3
8,,,14,2,,,3,3
9,,,,3,,,,3
10,,,16,,,,3,
11,,,17,5,,,3,3
12,,,18,6,,,3,3
13,,,19,,,,3,
14,,15,20,8,,3,3,3
15,14,16,21,,3,3,3,
16,15,17,,10,3,3,,3
17,16,,23,11,3,,3,3
18,,,24,12,,,3,3
19,,20,,13,,3,,3
20,19,,,14,3,,,3
21,,,27,15,,,3,3
22,,23,28,,,3,3,
23,22,24,29,17,3,3,3,3
24,23,,,18,3,,,3
25,,,31,,,,3,
26,,,32,,,,3,
27,,28,33,21,,3,3,3
28,27,,34,22,3,,3,3
29,,30,35,23,,3,3,3
30,29,,36,,3,,3,
31,,32,,25,,3,,3
32,31,,38,26,3,,3,3
33,,34,39,27,,3,3,3
34,33,35,,28,3,3,,3
35,34,,41,29,3,,3,3
36,,,,30,,,,3
37,,,43,,,,3,
38,,39,44,32,,3,3,3
39,38,,45,33,3,,3,3
40,,41,46,,,3,3,
41,40,42,,35,3,3,,3
42,41,,48,,3,,3,
43,,44,,37,,3,,3
44,43,,,38,3,,,3
45,,,,39,,,,3
46,,47,,40,,3,,3
47,46,,,,3,,,
48,,,,42,,,,3
